gen,pop-id, pop-size, hetero., mean-phenotype, optimal-phenotype
325,p1,138,2.74257e-05,0.610152,10
326,p1,164,2.24165e-05,0.296721,10
327,p1,133,2.31418e-05,0.273801,10
328,p1,128,2.34531e-05,0.0964291,10
329,p1,172,2.53255e-05,0.195402,10
330,p1,184,2.32842e-05,0.391345,10
331,p1,71,2.3296e-05,-0.33459,10
332,p1,158,2.38974e-05,0.503708,10
333,p1,122,1.89388e-05,0.224462,10
334,p1,87,1.94253e-05,0.112565,10
335,p1,111,1.80229e-05,0.0452691,10
336,p1,189,2.2103e-05,0.299316,10
337,p1,120,2.18031e-05,0.519868,10
338,p1,110,1.90298e-05,0.123901,10
339,p1,142,1.98217e-05,0.218986,10
340,p1,149,1.92717e-05,0.170185,10
341,p1,115,1.65429e-05,0.054088,10
342,p1,145,1.4279e-05,-0.133914,10
343,p1,169,1.62722e-05,0.0214116,10
344,p1,117,2.09084e-05,0.0727387,10
345,p1,141,1.63478e-05,-0.154569,10
346,p1,103,1.77524e-05,0.105004,10
347,p1,133,1.96373e-05,0.213743,10
348,p1,193,2.01396e-05,0.0591342,10
349,p1,157,1.75255e-05,0.195246,10
350,p1,88,2.08161e-05,0.40037,10
351,p1,101,2.07583e-05,0.527597,10
352,p1,174,2.14606e-05,0.526363,10
353,p1,169,2.00145e-05,0.508658,10
354,p1,120,2.12483e-05,0.683587,10
355,p1,177,2.2081e-05,0.879754,10
356,p1,107,2.78072e-05,0.647766,10
357,p1,90,3.15969e-05,0.815944,10
358,p1,143,2.95572e-05,0.786395,10
359,p1,113,2.92983e-05,0.682424,10
360,p1,149,3.11204e-05,1.20214,10
361,p1,149,3.07274e-05,1.65732,10
362,p1,129,3.03861e-05,1.24643,10
363,p1,168,3.04305e-05,1.60496,10
364,p1,133,2.25055e-05,2.44299,10
365,p1,100,2.51815e-05,2.49128,10
366,p1,149,2.50655e-05,2.46218,10
367,p1,182,2.87121e-05,2.23249,10
368,p1,198,2.48837e-05,2.52731,10
369,p1,134,2.43866e-05,2.29905,10
370,p1,131,2.81907e-05,2.4499,10
371,p1,157,2.93746e-05,2.35536,10
372,p1,153,2.97193e-05,2.6016,10
373,p1,109,3.42618e-05,2.68547,10
374,p1,166,3.33361e-05,2.67195,10
